Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,cov_coeff,dataset,dataset_dir,device,epochs,eval_dataset,featdim,logfile,lr,model,model_dir,sim_coeff,std_coeff,temperature,trainer,verbosity,weight_decay,workers,CIFAR100_accuracy,CIFAR100_rank,acc/top1,acc/top5,caltech101_accuracy,caltech101_rank,learning_rate,loss,rankme_rank
2023-12-04 15:17:39,7.9d,17a046acb9954488b0af371e410c7fe4,run_20231204_151741_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,45,4,0.07,vicreg,0,1e-06,24,17.64,4.57413387298584,,,33.00691244239631,5.086783409118652,0.00632740137180194,3.889561414718628,7.1918230056762695
2023-12-04 14:19:14,7.9d,2bfd8d8ea2344212bf0e3367ae6523f6,run_20231204_141916_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,40,4,0.07,vicreg,0,1e-06,24,19.09,6.429721355438232,,,32.43087557603687,7.635717391967773,0.00632740137180194,3.8866162300109863,11.186893463134766
2023-12-04 13:20:38,8.0d,bcdb856aabb64438a4a5254f5bf37b71,run_20231204_132041_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,35,4,0.07,vicreg,0,1e-06,24,18.24,10.087119102478027,,,32.71889400921659,11.525558471679688,0.00632740137180194,3.866560935974121,15.298880577087402
2023-12-04 12:22:12,8.0d,2203257f4e344d60995ab4abfc25f30e,run_20231204_122214_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,30,4,0.07,vicreg,0,1e-06,24,18.45,10.493929862976074,,,33.00691244239631,11.327360153198242,0.00632740137180194,3.8583006858825684,20.926870346069336
2023-12-04 11:23:44,8.1d,28ffc1aaa5d74e2b90da48b0f75ba91d,run_20231204_112346_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,20,4,0.07,vicreg,0,1e-06,24,18.97,25.2381591796875,,,33.294930875576036,25.98215103149414,0.00632740137180194,3.817310094833374,87.00277709960938
2023-12-04 10:25:19,8.1d,df545c5f4bf44f2c9bb9317285dadce9,run_20231204_102521_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,15,4,0.07,vicreg,0,1e-06,24,19.64,54.73886489868164,,,32.25806451612903,61.53792953491211,0.00632740137180194,3.7864584922790527,173.41793823242188
2023-12-04 09:26:41,8.1d,d453cf19f9824b9aab4c488f07abf562,run_20231204_092643_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,10,4,0.07,vicreg,0,1e-06,24,20.2,132.4638214111328,,,34.61981566820276,126.0477066040039,0.00632740137180194,3.7178659439086914,307.4523620605469
2023-12-04 08:28:24,8.2d,da27265a3cd54d84953846b97e89db26,run_20231204_082826_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,5,4,0.07,vicreg,0,1e-06,24,21.94,243.40335083007812,,,39.285714285714285,230.2721710205078,0.00632740137180194,3.5645833015441895,477.32135009765625
2023-12-04 07:30:03,8.2d,9d92407682314aca807617adaceb7e88,run_20231204_073005_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,25,16,0.07,vicreg,0,1e-06,24,23.4,149.31472778320312,,,39.055299539170505,157.8638153076172,0.00632740137180194,14.167681694030762,348.78741455078125
2023-12-04 06:31:42,8.3d,7aaf09be10e74e57977013d6b174c60b,run_20231204_063144_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,25,8,0.07,vicreg,0,1e-06,24,20.58,83.48184204101562,,,34.04377880184332,87.75102233886719,0.00632740137180194,7.474992275238037,272.1199951171875
